	27	16	620	188
	3	35	615	192
	19	28	604	185
	23	39	606	177
	15	31	607	176
	16	28	615	182
	28	30	603	177
	7	33	608	179
	24	31	609	192
	19	7	606	184
	8	24	595	192
	19	24	600	192
	39	25	604	175
	15	33	600	191
	12	27	616	193
	24	25	611	191
	19	25	609	188
	31	28	591	179
	25	32	615	192
	15	22	595	188
	33	12	595	184
	28	28	592	198
	27	31	604	199
	19	28	608	185
	12	28	622	179
	12	28	611	192
	9	31	611	192
	12	33	595	191
	20	15	614	179
	25	28	608	188
	31	23	608	192
	16	15	617	190
	24	25	596	195
	12	30	608	176
	28	35	606	190
	8	30	600	190
	28	23	615	169
	24	23	596	188
	15	12	615	190
	15	30	612	191
	12	19	608	174
	30	28	595	176
	25	12	606	195
	14	30	607	200
	25	31	611	191
	11	36	614	188
	24	24	604	188
	25	30	591	188
	12	30	608	176
	25	31	604	192
	24	25	604	188
	24	15	608	190
	24	24	590	175
	14	12	591	192
	25	30	606	182
	15	24	609	199
	16	33	616	182
	15	23	615	184
	22	28	600	176
	7	16	608	188
	24	7	600	193
	24	32	591	189
	9	27	606	184
	16	30	598	176
	22	24	600	179
	22	16	608	185
	27	30	608	183
	24	24	600	192
	30	12	608	179
	19	30	608	176
	27	35	611	190
	15	31	608	177
	15	31	615	188
	24	28	608	182
	24	20	611	192
	16	19	595	185
	28	27	601	175
	28	33	604	192
	25	38	615	199
	24	24	596	179
	12	19	604	176
	15	28	622	172
	33	40	616	179
	14	31	600	191
	24	30	608	177
	27	24	620	190
	20	16	615	207
	11	39	600	192
	24	23	600	188
	30	23	591	177
	24	28	607	179
	24	33	599	190
	22	19	601	192
	24	25	598	177
	14	31	604	184
	19	33	611	192
	24	15	608	188
	22	33	599	192
	20	17	595	198
	24	30	606	175
	24	16	614	192
	15	28	611	192
	16	24	604	176
	24	35	608	191
	22	33	614	179
	16	16	600	190
	19	30	611	188
	31	41	600	176
	17	23	622	179
	12	30	601	192
	7	15	599	167
	14	31	611	192
	17	24	614	179
	19	19	620	192
	12	24	600	187
	28	20	600	191
