	28	19	600
	22	39	611
	17	35	611
	27	39	611
	8	28	614
	24	16	606
	30	15	616
	11	22	595
	30	25	607
	22	35	609
	23	28	598
	30	30	607
	28	31	611
	14	31	609
	30	41	607
	24	14	609
	28	33	611
	28	16	615
	27	14	615
	28	33	615
	15	24	600
	30	28	598
	24	25	615
	30	19	614
	28	19	595
	25	33	611
	33	25	611
	25	24	611
	24	35	606
	15	24	601
	32	30	608
	15	41	609
	20	22	604
	15	39	600
	15	32	611
	19	27	592
	19	41	609
	35	15	609
	15	19	609
	31	30	600
	20	28	608
	24	38	616
	12	20	590
	15	30	588
	23	30	593
	15	28	611
	30	32	609
	12	40	595
	19	32	604
	22	35	604
	15	24	615
	15	24	614
	27	24	593
	30	35	588
	25	33	622
	30	16	615
	23	30	598
	14	31	608
	19	35	591
	19	24	587
	9	39	588
	24	35	611
	24	31	632
	31	33	595
	24	35	604
	24	38	598
	20	41	609
	7	32	604
	12	28	608
	15	22	611
	30	35	608
	8	38	595
	17	31	608
	20	27	607
	15	28	584
	24	19	606
	20	22	609
	39	31	598
	12	35	601
	33	31	606
	27	35	593
	8	14	595
	22	31	608
	27	31	606
	28	31	609
	39	31	606
	28	28	611
	19	24	608
	14	17	598
	28	19	606
	6	24	609
	31	32	608
	32	32	615
	15	33	614
	24	24	593
	35	33	600
	12	24	608
	24	31	615
	28	27	611
	17	16	611
	142	115	-369
	120	104	-369
	142	100	-369
	124	112	-361
	147	110	-349
	119	110	-377
	120	108	-391
	139	96	-376
	135	108	-362
	143	103	-372
	124	96	-365
	135	99	-378
	136	94	-360
	120	110	-360
	134	99	-368
	131	94	-367
	132	100	-360
	135	99	-365
	129	107	-385
	143	104	-369
	137	108	-368
	127	94	-365
	123	104	-369
	142	104	-364
	140	108	-368
	127	100	-370
	127	102	-381
	131	96	-360
	121	111	-365
	129	111	-372
	124	97	-369
	140	108	-362
	129	96	-362
	140	97	-369
	135	96	-367
	143	96	-375
	131	108	-388
	137	99	-376
	142	108	-362
	127	108	-360
	119	104	-364
	135	113	-375
	140	112	-357
	131	108	-364
	137	81	-356
	137	110	-364
	137	99	-365
	132	102	-364
	121	103	-365
	136	102	-360
	150	99	-376
	139	99	-364
	119	100	-359
	143	96	-368
	119	108	-359
	124	108	-375
	127	102	-361
	131	103	-367
	127	112	-361
	135	88	-361
	140	112	-376
	134	95	-365
	132	108	-369
	127	102	-365
	115	95	-360
	135	104	-369
	134	103	-370
	121	99	-373
	140	108	-369
	124	111	-377
	137	112	-378
	136	111	-370
	136	103	-360
	124	92	-372
	127	115	-378
	126	103	-365
	115	102	-368
	127	111	-361
	136	108	-362
	140	107	-360
	131	103	-369
	131	95	-369
	131	99	-377
	113	105	-369
	140	108	-377
	131	99	-356
	131	99	-377
	126	92	-369
	136	103	-385
	124	112	-369
	137	112	-365
	124	108	-365
	131	120	-372
	135	92	-369
	126	99	-368
	140	103	-360
	131	99	-369
	135	102	-372
	143	105	-367
	131	110	-367
	15	523	-100
	19	519	-106
	7	536	-93
	30	539	-103
	15	536	-97
	19	519	-108
	8	544	-90
	17	528	-97
	15	519	-96
	12	531	-97
	4	523	-97
	24	528	-108
	24	536	-97
	7	537	-92
	23	524	-89
	23	520	-89
	17	524	-109
	15	511	-106
	15	527	-100
	15	527	-104
	15	529	-93
	15	536	-104
	7	528	-90
	9	516	-89
	7	536	-90
	22	528	-106
	23	519	-113
	9	535	-106
	8	518	-109
	27	524	-105
	7	540	-88
	3	520	-103
	16	526	-97
	28	528	-104
	17	521	-111
	19	529	-103
	24	531	-89
	17	524	-89
	15	529	-100
	19	527	-97
	24	528	-97
	19	519	-96
	24	531	-109
	12	531	-112
	24	536	-89
	19	531	-100
	8	531	-93
	22	529	-92
	19	531	-97
	22	527	-82
	20	519	-108
	24	527	-104
	-2	527	-95
	7	527	-98
	19	529	-116
	19	516	-103
	24	513	-106
	15	524	-88
	27	528	-97
	24	529	-116
	7	547	-104
	25	529	-88
	6	535	-90
	6	515	-103
	23	528	-97
	19	511	-90
	9	513	-97
	30	528	-104
	3	529	-87
	12	535	-89
	6	524	-92
	31	524	-84
	22	527	-97
	24	534	-106
	19	536	-97
	22	527	-100
	15	527	-93
	24	527	-96
	19	531	-100
	19	531	-100
	15	515	-89
	25	513	-106
	19	536	-95
	16	534	-89
	14	520	-90
	-2	534	-100
	6	531	-90
	28	521	-97
	22	535	-100
	7	520	-84
	7	531	-104
	16	527	-87
	16	528	-89
	7	529	-89
	6	535	-97
	12	519	-97
	17	534	-97
	17	531	-96
	16	539	-90
	22	529	-98
	60	-456	-141
	64	-464	-151
	63	-457	-138
	63	-456	-144
	56	-452	-141
	67	-468	-153
	48	-449	-145
	48	-465	-141
	63	-452	-136
	75	-457	-144
	64	-458	-143
	60	-452	-137
	63	-449	-141
	46	-452	-143
	55	-449	-144
	70	-471	-141
	63	-456	-157
	48	-452	-144
	44	-458	-146
	56	-456	-137
	62	-461	-144
	62	-452	-143
	56	-464	-138
	54	-456	-156
	56	-464	-146
	63	-464	-157
	57	-458	-157
	65	-461	-148
	55	-447	-162
	55	-461	-141
	56	-456	-141
	51	-452	-164
	48	-450	-144
	78	-449	-141
	54	-463	-144
	63	-466	-138
	59	-452	-137
	65	-461	-160
	57	-457	-145
	44	-456	-151
	62	-472	-154
	60	-461	-144
	64	-461	-136
	49	-461	-153
	51	-464	-141
	64	-464	-143
	65	-457	-143
	67	-468	-148
	48	-452	-148
	63	-464	-161
	64	-461	-151
	55	-473	-148
	62	-447	-148
	63	-456	-136
	49	-450	-136
	63	-464	-137
	51	-452	-153
	67	-448	-133
	64	-474	-138
	49	-456	-144
	63	-450	-144
	60	-436	-148
	54	-455	-144
	51	-449	-146
	64	-469	-141
	55	-445	-148
	67	-456	-157
	49	-449	-144
	72	-464	-136
	48	-471	-137
	51	-474	-137
	63	-450	-146
	71	-461	-145
	59	-456	-141
	60	-471	-136
	56	-456	-153
	56	-448	-136
	56	-456	-141
	57	-452	-144
	48	-450	-144
	47	-449	-144
	63	-457	-167
	47	-456	-151
	70	-468	-153
	57	-439	-148
	55	-448	-143
	51	-461	-146
	51	-471	-132
	62	-448	-159
	63	-457	-145
	44	-442	-152
	62	-452	-140
	48	-458	-144
	49	-457	-144
	62	-464	-148
	67	-449	-137
	70	-455	-144
	68	-465	-144
	59	-456	-151
	49	-455	-153
	-440	35	326
	-449	15	305
	-432	38	316
	-445	31	303
	-439	14	316
	-433	41	304
	-426	31	307
	-445	23	311
	-432	32	311
	-433	33	328
	-433	28	326
	-425	30	316
	-418	27	312
	-431	25	319
	-424	35	304
	-420	35	310
	-433	44	302
	-433	39	305
	-426	25	308
	-442	19	312
	-442	35	304
	-441	19	311
	-429	27	320
	-444	40	316
	-416	46	312
	-424	35	323
	-436	51	315
	-429	19	319
	-432	31	308
	-429	31	307
	-449	39	312
	-433	35	319
	-424	24	319
	-426	31	318
	-440	24	323
	-442	39	326
	-413	27	319
	-432	25	307
	-441	35	319
	-433	25	304
	-429	23	311
	-431	40	313
	-441	35	327
	-440	24	312
	-445	28	316
	-429	25	319
	-428	35	318
	-433	32	305
	-445	22	319
	-439	40	318
	-441	31	307
	-436	39	312
	-433	22	312
	-445	32	312
	-441	31	321
	-424	28	308
	-429	35	310
	-436	27	311
	-431	39	313
	-441	28	319
	-444	28	319
	-449	15	318
	-436	28	302
	-441	24	307
	-429	24	300
	-431	20	312
	-429	28	300
	-429	31	304
	-428	32	299
	-433	40	310
	-436	30	313
	-433	48	327
	-441	36	321
	-431	24	304
	-449	43	302
	-429	20	312
	-433	35	319
	-426	28	304
	-436	22	319
	-433	23	319
	-432	39	318
	-434	39	320
	-439	39	312
	-439	31	312
	-439	24	319
	-447	24	327
	-447	27	307
	-429	32	316
	-434	24	307
	-431	24	320
	-436	44	318
	-425	23	319
	-437	31	307
	-445	40	304
	-426	48	319
	-426	41	320
	-441	24	332
	-426	15	312
	-426	31	319
	-448	24	316
	504	39	238
	499	35	239
	499	24	243
	496	31	248
	511	12	252
	508	35	248
	499	33	263
	515	41	248
	519	31	240
	507	24	248
	489	30	248
	500	24	248
	511	35	263
	499	31	255
	504	31	251
	508	31	259
	499	27	247
	508	24	247
	505	20	248
	511	30	246
	508	24	248
	508	23	241
	502	12	240
	504	28	248
	508	17	243
	499	22	247
	510	19	248
	504	27	238
	516	25	255
	502	23	251
	504	33	243
	502	16	248
	510	31	248
	487	33	248
	507	15	240
	497	24	254
	503	28	236
	494	25	248
	497	19	244
	505	46	252
	494	17	238
	503	28	252
	495	36	252
	497	28	248
	492	15	247
	511	32	240
	503	31	249
	492	43	255
