	23	39	620
	16	26	600
	5	28	608
	9	52	622
	40	12	604
	30	19	600
	16	39	607
	28	63	595
	40	27	579
	35	19	591
	28	55	615
	27	33	607
	9	28	622
	25	41	619
	32	47	688
	9	15	576
	24	31	569
	12	70	598
	-7	23	612
	-32	44	606
	12	63	623
	19	59	608
	-8	32	587
	6	148	624
	-5	25	595
	27	3	624
	19	43	620
	20	52	623
	-13	38	620
	14	28	619
	7	56	600
	7	11	568
	16	-1	591
	-4	45	670
	24	30	596
	48	51	583
	-21	19	592
	30	31	592
	17	62	608
	12	46	590
	24	7	604
	27	19	612
	27	24	591
	22	9	625
	-32	-2	608
	12	145	611
	51	39	606
	23	24	591
	33	39	646
	39	31	598
	35	56	606
	44	67	671
	17	60	603
	25	30	588
	8	43	600
	23	19	627
	15	38	595
	16	36	611
	15	48	591
	17	12	588
	32	48	627
	28	65	620
	-8	31	616
	12	15	611
	39	-35	631
	26	38	624
	23	52	596
	19	30	638
	16	7	604
	9	31	588
	41	33	604
	3	49	608
	7	43	615
	-8	16	599
	9	24	600
	39	32	614
	7	24	622
	32	33	595
	11	46	605
	-2	71	595
	1	-12	599
	28	137	615
	38	44	608
	52	62	606
	39	32	630
	33	27	626
	24	49	623
	43	31	598
	25	23	598
	48	28	577
	22	15	627
	22	54	627
	15	17	623
	16	45	624
	7	33	599
	8	31	583
	36	63	624
	31	41	623
	31	25	579
	17	63	599
	-173	114	671
	-206	147	550
	-176	176	558
	-173	112	563
	-194	144	589
	-196	127	535
	-192	144	563
	-177	124	567
	-169	163	574
	-166	113	540
	-177	168	551
	-168	243	614
	-180	167	558
	-162	136	568
	-172	120	547
	-180	166	564
	-185	154	543
	-168	116	574
	-180	148	558
	-152	149	561
	-160	127	563
	-175	121	558
	-185	126	572
	-168	153	544
	-168	142	560
	-177	152	536
	-169	179	575
	-176	143	560
	-177	171	539
	-177	185	556
	-177	89	560
	-158	140	536
	-185	168	572
	-172	150	543
	-154	137	536
	-162	114	539
	-193	126	575
	-154	152	560
	-161	127	575
	-180	135	574
	-176	143	543
	-193	120	627
	-162	151	551
	-177	144	544
	-160	143	564
	-175	119	543
	-164	158	557
	-177	119	558
	-145	109	542
	-152	173	540
	-162	136	558
	-169	167	560
	-168	169	547
	-185	134	551
	-183	131	559
	-179	124	538
	-189	132	572
	-204	177	563
	-177	135	556
	-210	153	532
	-169	127	553
	-101	156	551
	-205	156	551
	-154	147	551
	-177	124	542
	-195	171	551
	-185	151	528
	-160	123	576
	-160	152	562
	-193	143	559
	-168	115	567
	-168	119	592
	-178	107	568
	-170	120	560
	-180	140	536
	-177	144	539
	-175	96	575
	-152	132	552
	-177	155	568
	-168	141	560
	-184	160	575
	-167	140	535
	-183	145	524
	-168	140	540
	-157	145	528
	-168	143	487
	-170	147	552
	-177	103	564
	-146	127	561
	-157	154	557
	-170	160	566
	-180	159	575
	-176	127	552
	-177	147	566
	-160	117	550
	-177	179	575
	-173	131	547
	-196	152	537
	-176	155	528
	-191	147	553
	-116	216	-341
	-131	207	-340
	-122	161	-338
	-113	206	-361
	-126	185	-328
	-120	221	-334
	-116	209	-353
	-128	216	-356
	-116	200	-333
	-128	222	-349
	-103	214	-343
	-136	206	-335
	-112	179	-354
	-121	195	-340
	-120	187	-356
	-129	193	-328
	-146	207	-336
	-97	190	-368
	-111	220	-330
	-104	180	-367
	-81	183	-336
	-81	179	-364
	-141	147	-372
	-136	165	-348
	-122	237	-354
	-96	193	-353
	-117	241	-340
	-82	217	-356
	-130	182	-336
	-121	192	-321
	-97	199	-333
	-135	215	-336
	-29	198	-341
	-109	206	-345
	-136	220	-340
	-125	230	-320
	-116	192	-341
	-114	227	-349
	-89	195	-345
	-109	209	-355
	-113	216	-329
	-90	195	-328
	-114	199	-368
	-116	213	-356
	-144	197	-351
	-132	199	-337
	-119	228	-351
	-121	195	-365
	-113	216	-365
	-108	237	-352
	-117	221	-368
	-125	268	-333
	-116	226	-336
	-116	236	-353
	-120	185	-349
	-82	136	-328
	-116	203	-361
	-117	214	-319
	-113	161	-356
	-137	195	-354
	-100	211	-365
	-148	174	-345
	-145	231	-368
	-120	209	-336
	-117	224	-314
	-180	236	-324
	-89	172	-333
	-114	206	-377
	-128	222	-356
	-113	207	-345
	-122	207	-352
	-109	184	-346
	-103	195	-365
	-125	192	-360
	-124	195	-373
	-109	195	-338
	-117	179	-349
	-112	207	-336
	-117	217	-332
	-135	206	-388
	-111	192	-348
	-120	206	-351
	-113	185	-377
	-112	194	-324
	-136	192	-356
	-114	201	-335
	-113	200	-339
	-106	183	-324
	-133	222	-333
	-112	201	-362
	-121	200	-368
	-101	181	-240
	-109	211	-340
	-108	195	-344
	-129	204	-319
	-132	243	-345
	-104	296	-353
	-129	231	-340
	-137	229	-367
	-126	185	-364
	263	1	576
	255	6	568
	246	-17	555
	252	-1	558
	243	17	550
	255	-4	547
	255	12	552
	254	19	539
	265	1	560
	263	33	535
	264	25	552
	255	27	539
	274	4	542
	279	-14	526
	252	-25	547
	247	2	542
	254	3	560
	259	-15	526
	240	-16	551
	240	3	545
	270	30	552
	278	-25	526
	270	-2	560
	270	27	543
